Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,,Michael Connor,England (Vanarama North),Peterborough Sports,Vanarama National League North,30/6/2027,€150 p/w,19,"6'5""",,Unknown,2002089336,D (C),N/A,N/A,-,-,-,1.45,0.05,-0.19,0.04,1,-,0.03,"2,604",1.19,0.04,0,-,-,-,0,-,1.14,-,2.70,-,1.19,0.14,4,48,1.66,5%,50%,4,0.14,2,0.07,351.3km,12.1km,6,0.21,0.05,-,-,-,"D (C), DM, M (C)",19,0.66,0.07,2.18,129,4.46,67%,8.81,32,1.11,1,83%,"1,381",47.73,"1,151",39.78,8.40,9.40,189,6.53,49,1.69,104,3.59,-,-,-,-,22,16,0.55,0.45,4,0.14,18%,0.76,80%,69,55,1.90,0.59,17,0.07,2,0.14,4,50%,1,0.21,6,0.59,17,1.31,1,2,6.64,192
- -  -,,Sam Lapham,England (Vanarama South),Chippenham,Vanarama National League South,30/6/2027,€40 p/w,18,"5'10""",,Unknown,2002090460,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.05,0.03,0.88,0.06,1,-,0.53,171,0.12,0.06,0,-,-,-,0,-,2.11,-,1.05,-,0.12,-,0,3,1.58,25%,42%,7,3.68,3,1.58,23.8km,12.5km,0,-,0.03,-,-,-,D/WB (R),1,0.53,-,0.53,12,6.32,92%,10.00,5,2.63,0,64%,88,46.32,56,29.47,18.42,1.58,12,6.32,6,3.16,9,4.74,-,-,-,-,4,0,0.00,1.05,1,0.53,25%,2.11,86%,7,6,3.16,1.05,2,1.58,3,3.68,7,43%,0,0.53,1,1.05,2,0.53,0,0,6.84,13
- -  -,Ctr,Yahaya Usman,Nigeria,Jossy Utd,-,-,N/A,19,"6'1""",,Right,2002140381,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,4.44,0.11,-7.44,0.25,3,-,0.07,"3,803",10.44,0.25,0,-,-,-,0,-,0.00,-,0.00,-,10.44,-,0,0,0.00,3%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.12,-,-,-,"AM (R), ST (C)",0,-,0.05,-,-,-,-,0.00,0,-,0,54%,860,20.35,465,11.00,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,86,0,0.00,0.00,24,0.57,28%,2.04,50%,52,26,0.62,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Carl Richardson,England,Shrivenham,-,-,N/A,19,"5'10""",,Unknown,2002142694,"M (C), AM (RLC), ST (RL)",N/A,N/A,-,-,-,2.65,0.06,-6.97,0.26,4,-,0.10,"3,780",10.97,0.26,0,-,-,-,0,-,0.00,-,0.00,-,10.97,-,0,0,0.00,4%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.10,-,-,-,AM (C),0,-,0.12,-,-,-,-,0.00,0,-,0,54%,840,20.00,453,10.79,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,108,0,0.00,0.00,25,0.60,23%,2.57,81%,32,26,0.62,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Junior Ngoy,England,Ellesmere,-,-,N/A,19,"5'10""",,Unknown,2002142902,ST (C),N/A,N/A,-,-,-,1.59,0.09,-2.00,0.28,3,-,0.17,"1,607",5.00,0.28,0,-,-,-,0,-,0.00,-,0.00,-,5.00,-,0,0,0.00,6%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.10,-,-,-,ST (C),0,-,0.06,-,-,-,-,0.00,0,-,0,54%,420,23.52,227,12.71,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,48,0,0.00,0.00,13,0.73,27%,2.69,46%,39,18,1.01,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Aynsley Devine,England,Ellesmere,-,-,N/A,19,"6'1""",,Unknown,2002142988,D (C),N/A,N/A,-,-,-,3.49,0.14,-0.62,0.02,0,-,-,"2,307",0.62,0.02,0,-,-,-,0,-,0.00,-,0.00,-,0.62,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.09,-,-,-,D (R),0,-,0.08,-,-,-,-,0.00,0,-,0,67%,680,26.53,455,17.75,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,7,0,0.00,0.00,0,0.00,0%,0.27,92%,66,61,2.38,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Kim Klein Gulbrandsen,England,Ellesmere,-,-,N/A,18,"5'9""",,Unknown,2002143030,ST (C),N/A,N/A,-,-,-,0.61,0.03,-3.46,0.25,1,-,0.06,"1,620",4.46,0.25,0,-,-,-,0,-,0.00,-,0.00,-,4.46,-,0,0,0.00,3%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.12,-,-,-,ST (C),0,-,-,-,-,-,-,0.00,0,-,0,53%,360,20.00,189,10.50,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,36,0,0.00,0.00,9,0.50,25%,2.00,61%,18,11,0.61,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Loa,Tony Moore,England (Vanarama National),Scunthorpe,Vanarama National League,30/6/2027,€60 p/w,17,"5'8""",,Unknown,2002172660,-,N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,43,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,1,-,0,-,4.7km,-,0,-,0.00,-,-,-,M/AM (L),0,-,-,-,0,-,0%,-,1,-,0,92%,13,-,12,-,-,-,5,-,2,-,1,-,-,-,-,-,0,0,-,-,-,-,-,-,0%,2,0,-,-,1,-,0,-,1,0%,0,-,0,-,2,-,0,0,-,4
- -  -,Loa,Mikie King,England (Vanarama National),Gateshead,Vanarama National League,30/6/2027,€6 p/w,18,"6'0""",,Unknown,2002173570,-,N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,7,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,1.6km,-,0,-,0.00,-,-,-,ST (C),0,-,-,-,0,-,0%,-,0,-,0,100%,2,-,2,-,-,-,1,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,1
- -  -,Loa,Michael Idoko,England (Vanarama National),Harrogate,Vanarama National League,30/6/2027,€6 p/w,18,"5'10""",,Unknown,2002173761,-,N/A,N/A,-,-,-,0.04,0.04,0.00,0.00,0,-,-,90,0.00,0.00,0,-,-,-,0,-,1.00,-,1.00,-,0.00,-,0,2,2.00,-,-,0,0.00,0,0.00,9.6km,9.6km,0,-,0.00,-,-,-,D/WB (L),3,3.00,-,-,7,7.00,100%,7.00,1,1.00,0,92%,52,52.00,48,48.00,14.00,4.00,6,6.00,3,3.00,8,8.00,-,-,-,-,0,0,0.00,0.00,-,-,-,-,100%,4,4,4.00,2.00,2,0.00,0,0.00,0,-,0,1.00,1,2.00,2,0.00,0,0,7.00,7
- -  -,Loa,Max Dodd,England (Vanarama National),Dag & Red,Vanarama National League,30/6/2027,€60 p/w,17,"5'8""",,Unknown,2002173785,-,N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,17,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,2.2km,-,0,-,0.00,-,-,-,AM (L),0,-,-,-,1,-,33%,-,0,-,0,100%,4,-,4,-,-,-,0,-,1,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,100%,1,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,3
- -  -,Loa,Tobias Eggleton,England (Vanarama South),Dartford,Vanarama National League South,30/6/2027,€6 p/w,18,"6'1""",,Unknown,2002173927,"AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,0.00,0.00,0.00,0,-,-,90,0.00,0.00,0,-,-,-,0,-,2.00,-,0.00,-,0.00,-,0,2,2.00,-,-,0,0.00,0,0.00,12.2km,12.2km,0,-,0.00,-,-,-,D (L),1,1.00,-,2.00,5,5.00,71%,14.00,3,3.00,0,79%,48,48.00,38,38.00,16.00,1.00,9,9.00,2,2.00,6,6.00,-,-,-,-,0,0,0.00,0.00,-,-,-,-,50%,4,2,2.00,1.00,1,0.00,0,0.00,0,-,0,1.00,1,1.00,1,0.00,0,0,7.00,7
- -  -,Loa,Les Warrington,England (Vanarama North),Altrincham,Vanarama National League North,30/6/2027,€6 p/w,18,"6'0""",,Unknown,2002174118,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.68,0.16,0.37,0.15,1,-,0.24,377,0.63,0.15,0,-,-,-,0,-,1.19,-,1.67,-,0.63,0.24,1,3,0.72,20%,-,7,1.67,0,0.00,50.4km,12.0km,1,0.24,0.13,-,-,-,"AM (C), ST (C)",1,0.24,0.24,7.64,5,1.19,14%,7.88,5,1.19,3,89%,91,21.72,81,19.34,12.89,3.58,33,7.88,12,2.86,7,1.67,-,-,-,-,5,1,0.24,0.48,2,0.48,40%,1.19,83%,6,5,1.19,1.43,6,0.00,0,0.95,4,0%,0,0.00,0,1.43,6,0.00,0,0,8.83,37
- -  -,Bid,Remy McQuade,England (Vanarama North),Chester,Vanarama National League North,30/6/2027,€6 p/w,18,"5'9""",,Unknown,2002174458,ST (C),N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,14,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,1.8km,-,0,-,0.00,-,-,-,ST (C),0,-,-,-,0,-,0%,-,0,-,0,75%,4,-,3,-,-,-,0,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,1
- -  -,Loa,Philip Vincent-Day,England (Vanarama National),Tamworth,Vanarama National League,30/6/2027,€6 p/w,19,"6'2""",,Unknown,2002174472,-,N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,10,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,0.6km,-,0,-,0.00,-,-,-,DM,0,-,-,-,0,-,0%,-,0,-,0,100%,6,-,6,-,-,-,1,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,1
- -  -,Loa,Steve McGurk,England (Vanarama National),Tamworth,Vanarama National League,30/6/2027,€6 p/w,18,"5'11""",,Unknown,2002174476,-,N/A,N/A,-,-,-,0.19,0.19,0.00,0.00,0,-,-,90,0.00,0.00,0,-,-,-,0,-,0.00,-,2.00,-,0.00,1.00,1,1,1.00,-,-,2,2.00,0,0.00,12.0km,12.0km,0,-,0.00,-,-,-,D (R),1,1.00,-,2.00,5,5.00,71%,12.00,3,3.00,0,83%,48,48.00,40,40.00,27.00,2.00,8,8.00,2,2.00,6,6.00,-,-,-,-,0,0,0.00,0.00,-,-,-,-,100%,4,4,4.00,1.00,1,0.00,0,2.00,2,0%,0,0.00,0,1.00,1,0.00,0,0,7.00,7
- -  -,Loa,Jordan Dickie,England (Vanarama North),Oxford City,Vanarama National League North,30/6/2027,€6 p/w,17,"5'8""",,Unknown,2002174745,DM,N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,1,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,0.6km,-,0,-,0.00,-,-,-,DM,0,-,-,-,-,-,-,-,0,-,0,50%,2,-,1,-,-,-,0,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,0
- -  -,Loa,Gavin Patchell,England (Vanarama North),Oxford City,Vanarama National League North,30/6/2027,€6 p/w,18,"5'11""",,Unknown,2002174746,"AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,22,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,3.3km,-,0,-,0.00,-,-,-,M/AM (L),0,-,-,-,0,-,0%,-,0,-,0,90%,10,-,9,-,-,-,3,-,1,-,1,-,-,-,-,-,1,0,-,-,1,-,100%,-,100%,1,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,1
- -  -,Loa,Oneil McGinty,England (Vanarama North),Scarborough Athletic,Vanarama National League North,30/6/2027,€6 p/w,18,"6'0""",,Unknown,2002176724,"DM, M (C)",N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,5,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,0.3km,-,0,-,0.00,-,-,-,D (R),0,-,-,-,-,-,-,-,0,-,0,100%,3,-,3,-,-,-,1,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,0
- -  -,Loa,Paul Jackson,England (Vanarama North),Scarborough Athletic,Vanarama National League North,30/6/2027,€6 p/w,18,"5'10""",,Unknown,2002176725,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,11,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,2,-,0,-,2.0km,-,1,-,0.00,-,-,-,AM (R),0,-,-,-,0,-,0%,-,0,-,1,100%,4,-,4,-,-,-,1,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,2,0%,0,-,0,-,0,-,0,0,-,1
- -  -,Loa,Dave Oliver,England (Vanarama North),Scarborough Athletic,Vanarama National League North,30/6/2027,€6 p/w,18,"5'8""",,Unknown,2002176726,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.07,0.04,0.71,0.17,1,-,0.58,156,0.29,0.17,0,-,-,-,0,-,2.88,-,0.00,-,0.29,-,0,1,0.58,25%,25%,8,4.62,2,1.15,19.0km,11.0km,6,3.46,0.07,-,-,-,M/AM (R),0,-,0.58,5.77,0,0.00,0%,10.96,4,2.31,1,83%,54,31.15,45,25.96,21.92,0.00,17,9.81,5,2.88,7,4.04,-,-,-,-,4,0,0.00,0.58,1,0.58,25%,2.31,75%,4,3,1.73,2.31,4,1.15,2,4.62,8,25%,0,0.00,0,2.31,4,0.00,0,0,5.77,10
- -  -,Yth,Joe Taylor,England (Vanarama North),Scarborough Athletic,Vanarama National League North,30/6/2027,€6 p/w,17,"6'0""",,Unknown,2002176728,D (C),N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,45,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,1,-,-,-,0,-,0,-,5.6km,-,0,-,0.00,-,-,-,D (C),0,-,-,-,0,-,0%,-,0,-,0,94%,36,-,34,-,-,-,0,-,0,-,2,-,-,-,-,-,0,0,-,-,-,-,-,-,50%,2,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,3
- -  -,Wnt,Conrad Olley,England (Vanarama North),Buxton,Vanarama National League North,30/6/2027,€140 p/w,18,"6'1""",Fairly Ambitious,Right,2002176744,AM (R),-,-,-,-,-,0.31,0.04,-2.16,0.53,2,-,0.25,707,4.16,0.53,0,-,-,-,0,-,1.15,-,1.65,-,4.16,-,0,3,0.38,7%,10%,15,1.91,3,0.38,98.2km,12.5km,11,1.40,0.15,-,-,-,"AM (R), ST (C)",5,0.64,-,9.55,21,2.67,22%,8.66,5,0.64,4,84%,197,25.08,166,21.13,11.07,2.80,40,5.09,11,1.40,10,1.27,-,-,-,-,27,0,0.00,1.65,8,1.02,30%,3.44,100%,4,4,0.51,0.89,7,0.13,1,1.27,10,20%,0,0.00,0,1.15,9,0.00,0,0,12.22,96
- -  -,Loa,Aaron Haley,England (Vanarama North),Banbury,Vanarama National League North,30/6/2027,€6 p/w,18,"5'10""",,Unknown,2002176837,"DM, M (C)",N/A,N/A,-,-,-,0.17,0.08,-0.15,0.07,0,-,-,183,0.15,0.07,0,-,-,-,0,-,0.98,-,1.97,-,0.15,0.49,1,1,0.49,-,-,1,0.49,0,0.00,22.8km,11.2km,4,1.97,0.05,-,-,-,M (C),0,-,-,2.95,1,0.49,14%,6.39,2,0.98,0,90%,94,46.23,85,41.80,15.25,3.44,16,7.87,6,2.95,7,3.44,-,-,-,-,3,0,0.00,1.48,1,0.49,33%,1.48,100%,1,1,0.49,0.49,1,0.00,0,0.49,1,0%,0,0.00,0,0.49,1,0.00,0,0,3.44,7
- -  -,Loa,Godwin Obinna,England (Vanarama North),Buxton,Vanarama National League North,30/6/2027,€6 p/w,17,"6'0""",,Unknown,2002176895,D (C),N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,12,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,1,-,-,-,0,-,0,-,2.2km,-,0,-,0.00,-,-,-,D (C),0,-,-,-,-,-,-,-,0,-,0,75%,4,-,3,-,-,-,0,-,0,-,1,-,-,-,-,-,0,0,-,-,-,-,-,-,100%,1,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,0
- -  -,Loa,Dede Körümdük,England (Vanarama North),Buxton,Vanarama National League North,30/6/2027,€6 p/w,17,"6'1""",,Unknown,2002176897,D (C),N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,21,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,1,-,-,-,0,-,0,-,4.1km,-,0,-,0.00,-,-,-,D (C),0,-,-,-,4,-,100%,-,1,-,0,53%,19,-,10,-,-,-,2,-,2,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,4
- -  -,Loa,Johnie Trueman,England (Vanarama North),Leamington,Vanarama National League North,30/6/2027,€6 p/w,17,"5'8""",,Unknown,2002176905,D/WB (RL),N/A,N/A,-,-,-,0.00,0.00,0.00,0.00,0,-,-,264,0.00,0.00,0,-,-,-,0,-,0.68,-,1.36,-,0.00,-,0,11,3.75,-,12%,8,2.73,1,0.34,37.6km,12.8km,0,-,0.00,-,-,-,D/WB (L),1,0.34,-,2.73,3,1.02,27%,17.39,4,1.36,0,79%,133,45.34,105,35.80,16.36,10.91,25,8.52,11,3.75,11,3.75,-,-,-,-,0,0,0.00,0.00,-,-,-,-,70%,10,7,2.39,0.34,1,0.34,1,2.73,8,13%,0,0.00,0,0.34,1,0.34,0,0,3.75,11
- -  -,Loa,Jamie Hughes,England (Vanarama South),Hemel Hempstead,Vanarama National League South,30/6/2027,€6 p/w,18,"6'0""",,Unknown,2002176928,ST (C),N/A,N/A,-,-,-,0.00,0.00,0.00,0.00,0,-,-,102,0.00,0.00,0,-,-,-,0,-,0.00,-,0.00,-,0.00,-,0,2,1.76,-,-,0,0.00,0,0.00,12.0km,10.6km,0,-,0.00,-,-,-,ST (C),1,0.88,-,3.53,3,2.65,43%,4.41,2,1.76,0,96%,53,46.76,51,45.00,15.88,0.00,6,5.29,2,1.76,5,4.41,-,-,-,-,0,0,0.00,0.00,-,-,-,-,50%,2,1,0.88,0.88,1,0.00,0,0.00,0,-,0,0.88,1,0.88,1,0.00,0,0,6.18,7
- -  -,Loa,Rhian Jezeph,England (Vanarama South),Hampton & Richmond,Vanarama National League South,30/6/2027,€6 p/w,18,"6'1""",,Unknown,2002176951,"DM, M (C)",N/A,N/A,-,-,-,0.48,0.38,0.00,0.00,0,-,-,114,0.00,0.00,0,-,-,-,0,-,0.79,-,1.58,-,0.00,0.79,1,1,0.79,-,-,2,1.58,0,0.00,15.2km,12.0km,0,-,0.00,-,-,-,M (C),0,-,-,4.74,0,0.00,0%,7.11,0,-,1,91%,53,41.84,48,37.89,25.26,1.58,14,11.05,2,1.58,9,7.11,-,-,-,-,0,0,0.00,0.00,-,-,-,-,50%,2,1,0.79,2.37,3,0.00,0,1.58,2,0%,0,0.00,0,2.37,3,0.00,0,0,4.74,6
- -  -,Loa,Tom Stansfield,England (Vanarama North),Peterborough Sports,Vanarama National League North,30/6/2027,€6 p/w,19,"5'9""",,Unknown,2002176965,D (C),N/A,N/A,-,-,-,0.00,0.00,-0.14,0.09,0,-,-,135,0.14,0.09,0,-,-,-,0,-,1.33,-,1.33,-,0.14,-,0,1,0.67,-,-,0,0.00,0,0.00,15.6km,10.4km,0,-,0.14,-,-,-,D (C),1,0.67,-,0.67,13,8.67,93%,4.67,2,1.33,0,79%,66,44.00,52,34.67,5.33,4.67,7,4.67,2,1.33,2,1.33,-,-,-,-,1,1,0.67,0.67,1,0.67,100%,0.67,100%,1,1,0.67,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.67,0,0,9.33,14
- -  -,Loa,Haydn Winslade,England (Vanarama North),FC United,Vanarama National League North,30/6/2028,€6 p/w,17,"5'7""",Balanced,Right Only,2002193342,M (C),N/A,N/A,-,-,-,0.25,0.20,-0.16,0.13,0,-,-,111,0.16,0.13,0,-,-,-,0,-,2.43,-,0.81,-,0.16,1.62,2,0,0.00,-,40%,5,4.05,2,1.62,16.2km,13.1km,4,3.24,0.16,-,-,-,"M (RC), AM (R)",0,-,-,2.43,0,0.00,0%,11.35,2,1.62,0,95%,59,47.84,56,45.41,6.49,7.30,17,13.78,3,2.43,0,0.00,-,-,-,-,1,0,0.00,0.00,0,0.00,0%,0.81,-,0,-,-,1.62,2,1.62,2,4.05,5,40%,0,0.00,0,1.62,2,0.00,0,0,2.43,3
- -  -,Ctr,Callum Dobson,England (Northern Premier D1E),North Ferriby,English Northern Premier League Division One East,-,N/A,24,"6'1""",Balanced,Right,2000152724,GK,€110 p/w,€150 p/w,0,0.00,2.16,0.00,0.00,0.00,0.00,0,7,-,291,0.00,0.00,0,0,0,-,0,-,0.00,0,0.00,-,0.00,-,0,-,0.00,-,-,-,-,-,-,0.0km,0.0km,0,-,0.00,0.00,0.00,0%,GK,-,-,-,-,-,-,-,0.00,0,-,0,55%,80,24.74,44,13.61,0.00,0.00,0,0.00,0,0.00,0,0.00,0%,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Ctr,Sam Hodgson,England (Northern Premier D1E),Belper,English Northern Premier League Division One East,-,N/A,25,"5'10""",Balanced,Right Only,90094865,ST (C),€775 p/w,"€1,000 p/w",-,-,-,0.00,0.00,-0.08,0.83,1,-,0.77,117,1.08,0.83,0,-,-,-,0,-,0.00,-,0.00,-,1.08,-,0,0,0.00,8%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.09,-,-,-,ST (C),0,-,-,-,-,-,-,0.00,0,-,0,62%,60,46.15,37,28.46,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,12,0,0.00,0.00,3,2.31,25%,9.23,67%,3,2,1.54,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Zach Simpson,England (Northern Premier D1E),Belper,English Northern Premier League Division One East,-,N/A,20,"5'9""",Spirited,Right Only,2000300474,DM,N/A,N/A,-,-,-,2.45,0.09,0.71,0.05,2,-,0.08,"2,353",1.29,0.05,0,-,-,-,0,-,0.00,-,0.00,-,1.29,-,0,0,0.00,13%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.08,-,-,-,"DM, M (C)",0,-,0.19,-,-,-,-,0.00,0,-,0,69%,600,22.95,411,15.72,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,16,0,0.00,0.00,1,0.04,6%,0.61,67%,86,58,2.22,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ctr,Llyton Chapman,England (Northern Premier League),Darlington,English Northern Premier League Premier Division,-,N/A,21,"6'0""",Balanced,Right,2000108847,D (C),N/A,N/A,-,-,-,0.08,0.01,0.00,0.00,0,-,-,540,0.00,0.00,0,-,-,-,0,-,1.00,-,1.00,-,0.00,-,0,5,0.83,-,-,1,0.17,0,0.00,69.6km,11.6km,1,0.17,0.00,-,-,-,D/M (C),2,0.33,-,1.17,42,7.00,86%,5.83,10,1.67,0,88%,293,48.83,257,42.83,7.33,12.67,35,5.83,7,1.17,25,4.17,-,-,-,-,0,3,0.50,0.00,-,-,-,-,100%,9,9,1.50,0.33,2,0.00,0,0.17,1,0%,0,0.00,0,0.67,4,1.33,0,0,8.17,49
- -  -,,Cam Chambers,England (Northern Premier D1E),Hebburn,English Northern Premier League Division One East,30/6/2027,€100 p/w,21,"5'9""",Balanced,Right Only,2000300261,D (R),N/A,N/A,-,-,-,1.42,0.23,-0.51,0.08,0,-,-,560,0.51,0.08,0,-,-,-,0,-,0.00,-,0.00,-,0.51,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.10,-,-,-,D/WB (R),0,-,0.32,-,-,-,-,0.00,0,-,0,69%,240,38.57,166,26.68,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,5,0,0.00,0.00,1,0.16,20%,0.80,100%,15,15,2.41,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,,Charlie Whittaker,England (Northern D1),North Shields,English Northern League Division One,30/6/2027,€200 p/w,21,"5'9""",Resolute,Right Only,2000300000,M (C),N/A,N/A,-,-,-,0.97,0.07,-2.96,0.33,2,-,0.13,"1,341",4.96,0.33,0,-,-,-,0,-,0.00,-,0.00,-,4.96,-,0,0,0.00,5%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.13,-,-,-,M/AM (C),0,-,0.20,-,-,-,-,0.00,0,-,0,65%,380,25.50,248,16.64,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,38,0,0.00,0.00,16,1.07,42%,2.55,78%,23,18,1.21,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
