UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
29240108,Tom Sparrow,"DM, M (C)",21,"5'11""",0,"1,400",,30/6/2026,4059,South Shields,Vanarama National League North,1,50,91.0,54.0,80.0,7.12,7.21,6.41,0.0,6.41,7.12,1.0,6.41,1.84,54.0
29236446,Alex Aoraha,"DM, M (C)",21,"6'1""",0,575,,30/6/2025,2268,Braintree,Vanarama National League South,1,50,90.0,53.0,86.0,7.5,12.22,4.52,0.0,4.52,7.5,2.38,4.52,2.90,53.0
2000125523,Harry Barbrook,D (L),19,"5'11""",0,350,,30/6/2024,3168,Hemel Hempstead,Vanarama National League South,1,46,83.0,53.0,84.0,11.28,14.2,6.14,0.0,6.14,11.28,2.1,6.14,2.98,53.0
2002081381,Aidan Ireland,D (R),17,"5'10""",0,180,,30/6/2025,1439,Warrington,Vanarama National League North,1,44,81.0,53.0,81.0,9.42,14.01,6.07,0.0,6.07,9.42,1.63,6.07,3.06,53.0
2000044791,Ben Watt,"DM, M (C)",20,"5'9""",0,"1,200",,30/6/2025,2684,Maidstone,Vanarama National League South,1,50,90.0,52.0,76.0,7.58,12.81,4.19,0.0,4.19,7.58,1.81,4.19,1.91,52.0
29234484,Jack Smith,"DM, M (C)",22,"6'1""",0,625,,30/6/2026,3144,Dartford,Vanarama National League South,1,51,90.0,50.0,83.0,7.96,12.68,4.35,0.0,4.35,7.96,2.55,4.35,1.75,50.0
90012441,Alex Kenyon,"D (C), DM, M (C)",31,"5'11""",0,450,,30/6/2025,4403,Curzon Ashton,Vanarama National League North,1,46,85.0,50.0,79.0,6.4,8.75,4.6,0.0,4.6,6.4,2.35,4.6,2.45,50.0
29152568,Ben Liddle,M (C),25,"5'7""",0,525,,30/6/2024,3950,Darlington,Vanarama National League North,1,49,85.0,50.0,78.0,11.91,7.27,4.88,0.0,4.88,11.91,1.39,4.88,2.53,50.0
28060559,Callum Reilly,"DM, M (C)",30,"6'1""",0,230,,30/6/2024,3808,Tamworth,Vanarama National League North,1,51,87.0,49.0,70.0,6.79,8.86,4.09,0.0,4.09,6.79,1.51,4.09,2.81,49.0
28116915,Bivesh Gurung,"DM, M (C)",22,"6'0""",0,400,,30/6/2024,1424,Maidstone,Vanarama National League South,1,50,89.0,49.0,76.0,9.29,10.11,4.3,0.0,4.3,9.29,2.02,4.3,2.91,49.0
29005307,Joe Partington,"D (RC), DM",34,"6'2""",0,650,,30/6/2025,3288,St. Albans,Vanarama National League South,1,50,87.0,49.0,79.0,7.64,11.66,4.38,0.0,4.38,7.64,1.53,4.38,2.74,49.0
29210000,Matty Williams,D (C),23,"6'3""",0,350,,30/6/2024,1324,Chester,Vanarama National League North,1,47,87.0,48.0,82.0,7.32,11.76,5.44,0.0,5.44,7.32,1.22,5.44,4.15,48.0
2000144017,Marshall Burke,"DM, M (C)",19,"6'0""",0,575,,30/6/2025,4021,South Shields,Vanarama National League North,1,50,88.0,48.0,76.0,11.57,6.36,5.22,0.0,5.22,11.57,1.16,5.22,2.19,48.0
29128950,Jordan Richards,"DM, M (C)",26,"5'11""",0,475,,30/6/2024,2875,Boston Utd,Vanarama National League North,1,58,89.0,48.0,76.0,9.14,8.55,5.1,0.0,5.1,9.14,1.94,5.1,2.16,48.0
28085969,George Glendon,M (C),29,"5'10""",0,875,,30/6/2024,4365,Chester,Vanarama National League North,1,47,89.0,47.0,84.0,7.32,7.77,4.66,0.0,4.66,7.32,2.33,4.66,2.49,47.0
28059635,David Morgan,"DM, M (C)",29,"5'8""",0,475,,30/6/2024,3833,Southport,Vanarama National League North,1,50,86.0,46.0,72.0,7.49,7.87,4.58,0.0,4.58,7.49,2.23,4.58,1.95,46.0
2000144685,Josh Home,"DM, M (C)",18,"5'9""",0,475,,30/6/2025,3211,Weston-super-Mare,Vanarama National League South,1,50,89.0,45.0,75.0,6.75,14.91,4.26,0.0,4.26,6.75,1.51,4.26,1.77,45.0
28127070,Hayden Lindley,"DM, M (C)",21,"6'0""",0,850,,30/6/2025,1534,Darlington,Vanarama National League North,1,49,89.0,45.0,69.0,6.49,8.04,5.75,0.0,5.75,6.49,1.94,5.75,1.58,45.0
29173985,Alfie Payne,"DM, M (C)",24,"5'10""",0,350,,30/6/2025,4046,Braintree,Vanarama National League South,1,50,88.0,44.0,82.0,7.79,11.63,4.76,0.0,4.76,7.79,1.76,4.76,1.69,44.0
2000125469,Liam Humbles,"DM, M (C)",20,"5'11""",0,450,,30/6/2025,3340,Maidstone,Vanarama National League South,1,50,88.0,44.0,74.0,8.11,11.16,4.26,0.0,4.26,8.11,1.72,4.26,1.78,44.0
90091351,Nathan Newall,D/WB (L),22,"6'0""",0,0,,-,3796,Alfreton,Vanarama National League North,1,51,80.0,42.0,79.0,12.59,13.8,4.41,0.0,4.41,12.59,2.51,4.41,2.09,42.0
2000123314,Nathan Tinsdale,"DM, M (C)",18,"5'11""",0,475,,30/6/2025,1118,Peterborough Sports,Vanarama National League North,1,47,86.0,41.0,88.0,7.02,7.73,4.59,0.0,4.59,7.02,1.77,4.59,2.25,41.0
29086214,Shep Murombedzi,"DM, M (C)",29,"5'9""",0,675,,30/6/2025,3802,Brackley,Vanarama National League North,1,45,90.0,39.0,73.0,5.16,8.62,4.73,0.0,4.73,5.16,2.65,4.73,1.75,39.0
2000122117,Ayyuba Jambang,D (R),19,"5'9""",0,925,,30/6/2025,1980,Aveley,Vanarama National League South,1,44,84.0,39.0,89.0,12.5,11.77,5.59,0.0,5.59,12.5,1.91,5.59,2.45,39.0
