UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
2000189964,Michael Adu-Poku,ST (C),18,"6'2""",0,825,,30/6/2025,1054,Welling,Vanarama National League South,1,46,87.0,45%,85.0,19.3,1.02,85.0,87.0,1.27,0.0,1.27,0.03,1.62,53%
29164662,Justin Amaluzor,AM (R),27,"6'0""",0,875,,30/5/2025,1268,Altrincham,Vanarama National League,1,50,85.0,44%,75.0,15.76,4.26,75.0,85.0,2.91,0.0,2.91,0.2,1.92,44%
2000040253,Harrison Nejman,M (C),20,"5'10""",0,"1,000",,30/6/2025,2383,Alfreton,Vanarama National League North,1,51,85.0,43%,77.0,8.61,6.53,77.0,85.0,1.73,0.0,1.73,0.16,1.25,33%
29194672,Will Dawes,M/AM (L),23,"6'1""",0,525,,30/6/2024,1093,Yeovil,Vanarama National League South,1,50,84.0,43%,90.0,18.69,3.95,90.0,84.0,2.8,0.0,2.8,0.12,2.39,45%
90091351,Nathan Newall,D/WB (L),22,"6'0""",0,0,,-,3796,Alfreton,Vanarama National League North,1,51,80.0,42%,79.0,12.09,13.8,79.0,80.0,1.36,0.0,1.36,0.08,0.38,19%
29243910,Tyrese Briscoe,"AM (L), ST (C)",21,"6'0""",0,500,,30/6/2025,3706,Hemel Hempstead,Vanarama National League South,1,46,86.0,42%,91.0,18.53,4.86,91.0,86.0,2.61,0.0,2.61,0.11,1.36,30%
28116004,Tyrese Dyce,M/AM (L),23,"5'9""",0,350,,-,3668,Slough,Vanarama National League South,1,50,85.0,41%,89.0,17.15,4.51,89.0,85.0,2.92,0.0,2.92,0.12,1.18,40%
2000117453,Matty Grivosti,AM (L),21,"5'10""",0,300,,30/6/2024,2502,Warrington,Vanarama National League North,1,44,82.0,40%,84.0,14.1,9.17,84.0,82.0,2.38,0.0,2.38,0.18,1.37,26%
2000116243,Mohammad Dabre,M (C),21,"6'0""",0,525,,-,2617,Tonbridge,Vanarama National League South,1,48,86.0,40%,75.0,15.65,10.42,75.0,86.0,1.19,0.0,1.19,0.14,1.10,34%
29107438,Jack Bridge,AM (L),28,"5'10""",0,"1,700",,30/6/2025,3644,Southend,Vanarama National League,1,50,87.0,39%,83.0,14.25,11.73,83.0,87.0,2.03,0.0,2.03,0.12,0.05,50%
2000060517,Tolu Ladapo,AM (L),20,"5'9""",0,475,,30/6/2025,1146,Weymouth,Vanarama National League South,1,50,86.0,39%,68.0,15.24,4.01,68.0,86.0,2.28,0.0,2.28,0.05,1.10,29%
2000190582,Destiny Ojo,"AM (RL), ST (C)",18,"6'0""",0,500,,30/6/2025,2077,Taunton,Vanarama National League South,1,50,86.0,39%,79.0,22.88,4.55,79.0,86.0,1.91,0.0,1.91,0.08,1.30,47%
29233888,Matty McDonald,M/AM (C),21,"6'4""",0,450,,30/6/2025,3562,Warrington,Vanarama National League North,1,44,86.0,39%,82.0,9.65,8.72,82.0,86.0,1.54,0.0,1.54,0.13,1.59,35%
29091260,David Moyo,"AM (L), ST (C)",29,"6'0""",0,350,,30/6/2024,1709,Chorley,Vanarama National League North,1,59,90.0,38%,77.0,7.43,3.48,77.0,90.0,1.41,0.0,1.41,0.08,2.05,44%
29108194,Jack Stobbs,M/AM (R),27,"5'10""",0,675,,30/6/2025,1041,Torquay,Vanarama National League South,1,52,84.0,38%,69.0,13.57,4.5,69.0,84.0,2.61,0.0,2.61,0.24,0.86,20%
29150496,Giovanni McGregor,M (C),25,"5'9""",0,0,,-,2136,Bishop's Stortford,Vanarama National League North,1,50,87.0,37%,85.0,16.6,7.25,85.0,87.0,4.04,0.0,4.04,0.23,1.77,33%
29174576,Leon Davies,D/WB (L),24,"6'1""",0,450,,30/6/2025,4257,Braintree,Vanarama National League South,1,50,84.0,37%,84.0,15.81,12.11,84.0,84.0,1.78,0.0,1.78,0.18,0.21,50%
29217232,Kian Scales,M (C),22,"5'11""",0,"1,200",,30/6/2025,3092,Scunthorpe,Vanarama National League North,1,64,89.0,37%,78.0,7.98,7.39,78.0,89.0,1.54,0.0,1.54,0.13,1.66,35%
61042645,Cammy Smith,AM (C),28,"5'9""",0,600,,30/6/2025,1090,Woking,Vanarama National League,1,50,85.0,36%,90.0,25.76,6.19,90.0,85.0,1.24,0.0,1.24,0.03,1.32,13%
29110602,Billy Whitehouse,M/AM (R),27,"5'11""",0,650,,30/6/2025,3971,Chorley,Vanarama National League North,1,59,86.0,36%,81.0,14.57,6.75,81.0,86.0,3.67,0.0,3.67,0.18,1.36,52%
2000115007,Murtadha Al-Jahadhmy,"M (RL), AM (RLC)",20,"6'0""",0,100,,30/6/2024,3654,Banbury,Vanarama National League North,1,44,85.0,36%,89.0,12.29,5.44,89.0,85.0,2.09,0.0,2.09,0.17,1.43,33%
89061767,Craig Fasanmade,"AM (RL), ST (C)",23,"5'10""",0,350,,30/6/2025,3085,Chippenham,Vanarama National League South,1,51,84.0,36%,87.0,19.66,2.16,87.0,84.0,1.79,0.0,1.79,0.06,1.72,41%
29058039,Darren Stephenson,ST (C),31,"6'0""",0,400,,30/6/2024,4124,Farsley,Vanarama National League North,1,46,85.0,36%,73.0,9.49,6.22,73.0,85.0,1.59,0.0,1.59,0.12,2.90,40%
29240039,Siyabonga Ligendza,ST (C),21,"5'10""",0,575,,30/6/2024,2360,Eastbourne Borough,Vanarama National League South,1,57,87.0,34%,80.0,19.37,1.26,80.0,87.0,1.2,0.0,1.2,0.17,3.97,44%
2000154221,Jermaine Francis,AM (RL),22,"5'7""",0,375,,30/6/2026,3444,Chelmsford,Vanarama National League South,1,56,84.0,34%,84.0,14.95,6.19,84.0,84.0,2.88,0.0,2.88,0.24,1.20,39%
29236394,Joseph Ajose,AM (RL),22,"6'1""",0,825,,30/6/2024,2458,St. Albans,Vanarama National League South,1,50,85.0,34%,84.0,17.47,4.94,84.0,85.0,2.01,0.0,2.01,0.15,1.17,31%
94044706,Ryan Hill,AM (RC),26,"5'10""",0,875,,30/6/2025,1667,Dag & Red,Vanarama National League,1,50,86.0,34%,85.0,15.28,5.18,85.0,86.0,2.16,0.0,2.16,0.28,1.40,35%
2000060514,Jason Adigun,M/AM (C),20,"6'6""",0,400,,30/6/2025,3331,Hemel Hempstead,Vanarama National League South,1,46,86.0,34%,71.0,14.48,9.94,71.0,86.0,1.25,0.0,1.25,0.23,1.43,34%
29159555,Cameron Hargreaves,M (C),25,"5'10""",0,825,,30/6/2024,2655,King's Lynn,Vanarama National League North,1,50,87.0,33%,68.0,8.24,8.92,68.0,87.0,1.15,0.0,1.15,0.09,0.92,26%
29073347,Miles Storey,"AM (L), ST (C)",30,"5'11""",0,350,,30/6/2024,3121,Curzon Ashton,Vanarama National League North,1,46,83.0,33%,82.0,12.69,7.99,82.0,83.0,2.67,0.0,2.67,0.25,1.41,53%
29219102,Ken Charles,ST (C),23,"6'0""",0,230,,30/6/2024,3858,Banbury,Vanarama National League North,1,44,84.0,33%,80.0,9.19,4.55,80.0,84.0,1.31,0.0,1.31,0.15,3.10,40%
29237705,Caleb Chukwuemeka,ST (C),22,"6'3""",0,925,,30/6/2024,3577,King's Lynn,Vanarama National League North,1,50,85.0,32%,78.0,6.89,4.63,78.0,85.0,1.13,0.0,1.13,0.02,2.69,48%
28049717,Lawson D'Ath,M (C),31,"5'9""",0,325,,30/6/2025,3358,Banbury,Vanarama National League North,1,44,85.0,32%,76.0,11.26,5.39,76.0,85.0,1.98,0.0,1.98,0.18,1.39,33%
28083240,Jamie Allen,AM (R),29,"5'9""",0,300,,30/6/2024,2553,Curzon Ashton,Vanarama National League North,1,46,85.0,32%,70.0,11.77,7.51,70.0,85.0,2.87,0.0,2.87,0.16,1.34,55%
28115924,Christian Norton,ST (C),23,"5'10""",0,475,,30/6/2024,4052,Chester,Vanarama National League North,1,47,89.0,32%,83.0,8.62,5.93,83.0,89.0,1.74,0.0,1.74,0.12,2.78,46%
29218009,Jimmy Knowles,ST (C),23,"6'0""",0,775,,30/6/2025,3622,Boston Utd,Vanarama National League North,1,58,88.0,31%,75.0,7.88,5.02,75.0,88.0,1.45,0.0,1.45,0.2,3.13,50%
2000053517,Harrison Wood,AM (LC),19,"6'0""",0,"1,000",,30/6/2025,2847,Brackley,Vanarama National League North,1,45,87.0,31%,80.0,8.95,6.26,80.0,87.0,1.38,0.0,1.38,0.1,2.12,39%
2000033300,Connor Evans,ST (C),20,"6'0""",0,450,,30/6/2025,3476,Warrington,Vanarama National League North,1,44,84.0,31%,75.0,8.34,5.51,75.0,84.0,1.11,0.0,1.11,0.13,1.89,40%
95038298,Charlie Carter,M/AM (C),27,"6'2""",0,875,,30/6/2025,2986,Dorking,Vanarama National League,1,53,86.0,31%,72.0,18.48,12.24,72.0,86.0,1.26,0.0,1.26,0.14,1.78,31%
28127279,Ramello Mitchell,AM (RL),21,"5'10""",0,750,,30/6/2024,4392,Buxton,Vanarama National League North,1,48,85.0,30%,85.0,12.03,7.11,85.0,85.0,2.88,0.0,2.88,0.24,2.42,43%
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29%,78.0,13.44,8.15,78.0,85.0,3.93,0.0,3.93,0.24,2.28,50%
29155387,Joe Re,"DM, M (C)",25,"5'7""",0,0,,-,1439,Hemel Hempstead,Vanarama National League South,1,46,86.0,29%,70.0,12.57,6.32,70.0,86.0,1.28,0.0,1.28,0.06,0.69,18%
28059684,Elliott Whitehouse,M (C),30,"5'11""",0,575,,30/6/2024,1364,Chester,Vanarama National League North,1,47,88.0,29%,82.0,9.24,8.45,82.0,88.0,1.99,0.0,1.99,0.11,1.25,21%
2000275749,Ade Adeyemo,"AM (RL), ST (C)",25,"6'0""",0,575,,30/6/2025,1022,Welling,Vanarama National League South,1,46,86.0,29%,90.0,21.66,3.79,90.0,86.0,2.04,0.0,2.04,0.07,0.79,44%
29139358,Darren Foxley,AM (RL),27,"5'10""",0,350,,30/6/2024,3851,Bishop's Stortford,Vanarama National League North,1,50,83.0,29%,87.0,14.82,7.41,87.0,83.0,3.53,0.0,3.53,0.24,1.40,37%
2000201868,Noah Preston-Watkins,"AM (R), ST (C)",18,"5'10""",0,275,,30/6/2025,2073,Truro,Vanarama National League South,1,48,86.0,28%,83.0,19.75,3.21,83.0,86.0,1.62,0.0,1.62,0.1,1.35,32%
