UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
2000154221,Jermaine Francis,AM (RL),22,"5'7""",0,375,,30/6/2026,3444,Chelmsford,Vanarama National League South,1,56,84.0,34.0,84.0,19.31,6.19,84.0,84.0,4.81,0.0,4.81,0.24,1.20,39%
29236394,Joseph Ajose,AM (RL),22,"6'1""",0,825,,30/6/2024,2458,St. Albans,Vanarama National League South,1,50,85.0,34.0,84.0,17.47,4.94,84.0,85.0,2.01,0.0,2.01,0.15,1.17,31%
94044706,Ryan Hill,AM (RC),26,"5'10""",0,875,,30/6/2025,1667,Dag & Red,Vanarama National League,1,50,86.0,34.0,85.0,15.28,5.18,85.0,86.0,2.16,0.0,2.16,0.28,1.40,35%
29073347,Miles Storey,"AM (L), ST (C)",30,"5'11""",0,350,,30/6/2024,3121,Curzon Ashton,Vanarama National League North,1,46,83.0,33.0,82.0,10.88,7.99,82.0,83.0,1.96,0.0,1.96,0.25,1.41,53%
28083240,Jamie Allen,AM (R),29,"5'9""",0,300,,30/6/2024,2553,Curzon Ashton,Vanarama National League North,1,46,85.0,32.0,70.0,10.09,7.51,70.0,85.0,2.11,0.0,2.11,0.16,1.34,55%
29218009,Jimmy Knowles,ST (C),23,"6'0""",0,775,,30/6/2025,3622,Boston Utd,Vanarama National League North,1,58,88.0,31.0,75.0,11.17,5.02,75.0,88.0,2.92,0.010000000000000009,2.92,0.2,3.13,50%
95038298,Charlie Carter,M/AM (C),27,"6'2""",0,875,,30/6/2025,2986,Dorking,Vanarama National League,1,53,86.0,31.0,72.0,20.91,12.24,72.0,86.0,1.62,0.12,1.62,0.14,1.78,31%
28127279,Ramello Mitchell,AM (RL),21,"5'10""",0,750,,30/6/2024,4392,Buxton,Vanarama National League North,1,48,85.0,30.0,85.0,11.12,7.11,85.0,85.0,2.46,0.0,2.46,0.24,2.42,43%
29107362,Danny Whitehall,ST (C),28,"6'3""",0,"1,400",,30/6/2025,2988,Scunthorpe,Vanarama National League North,1,64,86.0,30.0,71.0,11.85,3.86,71.0,86.0,3.43,0.0,3.43,0.07,3.46,48%
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29.0,78.0,13.44,8.15,78.0,85.0,3.93,0.0,3.93,0.24,2.28,50%
