UID,Name,Pas %,xA/90,Poss Lost/90
2000201868,Noah Preston-Watkins,86%,0.1,19.75
29234751,Will Bapaga,81%,0.23,14.04
2000058334,Ben Acquaye,87%,0.2,13.09
29217667,Will McGowan,91%,0.14,7.17
2000042607,Jacob Hamilton,86%,0.04,17.79
29176532,Keaton Ward,86%,0.24,9.44
28094022,Alex Wiles,86%,0.07,8.49
2000045440,Jakub Niemczyk,84%,0.11,16.14
15070024,Michael Cunningham,87%,0.05,7.03
29066606,Jacob Hazel,89%,0.23,7.71
29106995,Tom Lapslie,85%,0.14,9.45
28067664,JJ Hooper,90%,0.09,6.63
28094827,Josh Smile,89%,0.17,8.11
2000277659,David Ogbonna,84%,0.19,20.73
29072749,Rob Ramshaw,87%,0.13,8.25
2000031615,Fedel Ross-Lang,84%,0.28,13.43
29103880,Danny Elliott,86%,0.17,10.19
29165173,Jason Law,89%,0.11,9.02
29175036,Dom Tear,86%,0.23,13.82
29240152,Euan Williams,86%,0.11,17.39
28110963,Jordan Hickey,91%,0.18,9.69
29236679,Charlie Caton,88%,0.11,6.61
2000110077,Morgan Williams,83%,0.22,20.14
2000137628,Ash McCarthy,84%,0.06,18.05
29158345,Jordy Mongoy,86%,0.23,17.53
29176137,Josh Hmami,83%,0.23,10.55
89047064,Ollie Pearce,85%,0.1,14.24
29085989,Ed Williams,85%,0.06,17.57
90047169,Matt Warburton,80%,0.17,22.79
28115640,Danny Cashman,88%,0.18,15.49
28106392,Tyreke Johnson,86%,0.1,18.19
29188715,Matt Rush,85%,0.07,19.51
29226256,Sam Pearson,86%,0.08,16.38
29188048,George Cantrill,88%,0.11,7.82
33083658,Tope Fadahunsi,88%,0.09,18.3
29243911,Nana Boateng,83%,0.11,13.47
29159367,Kyle Finn,83%,0.29,16.07
2005767,Adam Rooney,86%,0.03,5.33
29191982,Lewis Collins,86%,0.17,12.42
89017853,Dayle Grubb,85%,0.38,15.68
74048740,Iwan Murray,85%,0.18,8.41
2000096159,Sam McLintock,86%,0.13,8.89
29156096,Stefan Mols,87%,0.14,9.0
2000163966,Reuben Marshall,86%,0.07,8.3
29007514,Sam Osborne,87%,0.08,10.8
