Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Harry Arnison,22,300,"5'8""",1,250.0,15.0,M/AM (C),Blyth,AUS,,79 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.32,3.96,100.0,1,3.24,7.2,1.8,100.0,,19.0,0.36,0.36,-6.12,7.2,13.32,3.96,82.0,,0.12,2.52,0.36,1.8,5.0,0.45,29.0,29.0,1.44,,1.0,0.36,0.27,0.72,0.0,0.0
Blake Ryan,21,0,"5'9""",1,360.0,12.0,AM (L),Monaghan Utd,IRL,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,20.25,2.0,67.0,1,1.0,4.0,1.5,67.0,,24.0,1.25,0.5,-16.25,4.0,20.25,2.0,79.0,,0.19,0.75,0.25,6.5,26.0,-0.05,0.0,0.0,1.75,,4.0,1.0,0.05,0.0,0.0,0.0
Isaac Assenso,26,230,"6'3""",1,1703.0,11.9,D (C),Farsley,ENG,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.68,4.86,79.0,2,1.96,12.84,1.59,79.0,,76.0,1.85,0.69,2.16,12.84,10.68,4.86,82.0,,0.03,0.53,0.16,2.54,16.0,0.02,39.0,39.0,7.87,,1.0,0.052847915443335294,0.09,0.11,0.0,0.0
Alex Moore,27,120,"6'1""",1,3345.0,13.1,"DM, M (C)",Rushall,ENG,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,7.43,2.58,68.0,1,1.29,8.66,1.35,68.0,,57.0,1.75,0.38,1.23,8.66,7.43,2.58,90.0,,0.15,0.54,0.62,3.17,5.13,-0.07,24.0,24.0,2.72,,3.0,0.08071748878923767,0.12,0.05,0.0,0.0
Jack Davies,21,180,"6'2""",1,1469.0,11.9,D (LC),Banbury,ENG,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,12.8,3.06,86.0,2,1.65,15.13,1.9,86.0,,76.0,1.96,0.61,2.33,15.13,12.8,3.06,77.0,,0.03,1.04,0.18,3.25,17.67,-0.05,38.0,38.0,8.15,,2.0,0.12253233492171545,0.05,0.0,0.0,0.0
Mustafa Hussein,23,0,"5'10""",1,2599.0,12.1,AM (R),Caernarfon,ENG,,73 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,18.21,2.08,77.0,1,1.42,3.12,1.7,77.0,,15.0,1.14,0.62,-15.09,3.12,18.21,2.08,84.0,,0.15,2.67,0.83,5.82,7.0,-0.02,47.0,47.0,0.97,,5.0,0.17314351673720663,0.19,0.17,0.0,0.0
Tom Lawless,18,0,"6'0""",1,231.0,12.6,D (C),Rushall,ENG,,76 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.13,3.9,67.0,1,0.39,12.47,1.56,67.0,,47.0,1.56,0.78,2.34,12.47,10.13,3.9,82.0,,0.24,0.39,0.0,0.78,0.0,0.0,0.0,0.0,2.73,,0.0,0.0,0.0,0.0,0.0,0.0
Chris Hull,25,0,"6'1""",1,360.0,10.6,ST (C),Ringmahon,IRL,,79 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,20.25,0.5,75.0,1,0.5,3.25,1.5,75.0,,35.0,0.0,0.25,-17.0,3.25,20.25,0.5,82.0,,0.27,0.5,0.0,0.5,0.0,0.42,63.0,63.0,4.5,,3.0,0.75,0.33,0.75,0.0,0.0
Ryan Coombes,30,0,"5'11""",1,371.0,12.2,M/AM (C),Bluebell Utd,IRL,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.64,2.91,67.0,1,1.21,18.19,1.46,67.0,,65.0,0.97,0.0,6.55,18.19,11.64,2.91,85.0,,0.06,0.49,0.24,1.21,5.0,-0.02,0.0,0.0,2.67,,0.0,0.0,0.02,0.0,0.0,0.0
Mitch Hancox,30,825,"5'10""",1,269.0,11.9,"DM, M (C)",York,ENG,,71 kg,€7K,,0.0,0.0,0.0,0.0,,0.0,,,12.38,2.68,71.0,1,1.34,10.37,1.67,71.0,,31.0,1.0,1.0,-2.01,10.37,12.38,2.68,92.0,,0.04,0.67,0.33,2.01,6.0,-0.05,0.0,0.0,1.34,,0.0,0.0,0.05,0.0,0.0,0.0
Harry Sheridan,22,120,"5'11""",1,445.0,12.4,D (C),Farsley,ENG,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.93,4.04,78.0,1,1.01,13.96,1.42,78.0,,72.0,2.02,0.2,2.03,13.96,11.93,4.04,81.0,,0.03,0.81,0.4,4.65,11.5,-0.01,0.0,0.0,5.66,,0.0,0.0,0.01,0.0,0.0,0.0
Oliver Southern,22,400,"6'0""",1,2765.0,12.5,D/WB (R),Hereford,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.74,4.92,85.0,2,2.28,15.92,2.15,85.0,,77.0,1.95,0.59,2.18,15.92,13.74,4.92,82.0,,0.11,1.14,0.59,3.35,5.72,-0.08,18.0,18.0,7.91,,0.0,0.0,0.08,0.0,0.0,0.0
Jack McLoughlin,22,300,"5'8""",1,620.0,13.2,D (R),South Shields,AUS,,66 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,16.55,8.85,75.0,2,2.03,9.0,2.18,75.0,,48.0,1.6,1.16,-7.55,9.0,16.55,8.85,80.0,,0.2,1.31,1.02,7.84,7.71,-0.01,0.0,0.0,3.05,,1.0,0.14516129032258066,0.01,0.0,0.0,0.0
Jack Tolley,20,300,"5'9""",1,2866.0,12.4,AM (R),Gloucester,ENG,,69 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,14.13,2.14,81.0,1,1.7,6.59,1.6,81.0,,29.0,1.26,0.82,-7.54,6.59,14.13,2.14,84.0,,0.15,3.58,0.97,6.63,6.81,-0.04,24.0,24.0,1.92,,5.0,0.157013258897418,0.07,0.03,0.0,0.0
