Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Keenan Quansah,26,350,"6'4""",1,2610.0,12.0,D (RC),Southport,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.72,4.0,77.0,1,1.66,16.0,1.93,77.0,,80.0,1.62,0.31,4.28,16.0,11.72,4.0,81.0,,0.08,0.69,0.21,1.66,8.0,0.03,47.0,47.0,7.9,,0.0,0.0,0.04,0.07,0.0,0.0
Ryan Fryatt,30,400,"6'1""",1,1486.0,11.6,D (C),Peterborough Sports,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.48,4.78,76.0,1,1.64,12.84,1.15,76.0,,63.0,2.48,0.61,2.36,12.84,10.48,4.78,78.0,,0.02,0.0,0.06,0.24,4.0,-0.01,50.0,50.0,5.51,,0.0,0.0,0.01,0.0,0.0,0.0
Charles Mutawe,23,0,"6'1""",1,570.0,10.8,D (C),Maynooth Town,IRL,,77 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,2.21,4.89,100.0,1,0.47,21.47,1.26,100.0,,75.0,1.26,0.16,19.26,21.47,2.21,4.89,84.0,,0.0,0.16,0.0,1.42,0.0,-0.25,13.0,13.0,6.32,,1.0,0.15789473684210525,0.25,0.0,0.0,0.0
Harry Arnison,22,300,"5'8""",1,250.0,15.0,M/AM (C),Blyth,AUS,,79 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.32,3.96,100.0,1,3.24,7.2,1.8,100.0,,19.0,0.36,0.36,-6.12,7.2,13.32,3.96,82.0,,0.12,2.52,0.36,1.8,5.0,0.45,29.0,29.0,1.44,,1.0,0.36,0.27,0.72,0.0,0.0
Harrison McGahey,28,925,"6'0""",1,450.0,11.7,D (C),Oldham,ENG,,77 kg,€0,,0.0,0.0,0.0,0.0,,0.0,,,3.4,3.8,78.0,1,0.6,14.4,1.4,78.0,,67.0,1.4,0.0,11.0,14.4,3.4,3.8,80.0,,0.07,0.6,0.0,0.8,0.0,-0.25,20.0,20.0,5.6,,0.0,0.0,0.25,0.0,0.0,0.0
James Oliver,21,120,"5'10""",1,245.0,13.3,AM (L),Alfreton,ENG,,69 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,21.31,0.73,56.0,1,1.1,6.24,1.84,56.0,,21.0,1.1,0.37,-15.07,6.24,21.31,0.73,85.0,,0.11,5.14,0.73,9.55,13.0,-0.39,25.0,25.0,2.2,,1.0,0.3673469387755102,0.39,0.0,0.0,0.0
Hayden Campbell,22,300,"6'2""",1,89.0,0.0,AM (RC),Curzon Ashton,ENG,,79 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,12.13,3.03,100.0,1,0.0,4.04,1.01,100.0,,0.0,1.01,0.0,-8.09,4.04,12.13,3.03,85.0,,0.05,1.01,0.0,1.01,0.0,0.95,50.0,50.0,0.0,,0.0,0.0,0.06,1.01,0.0,0.0
Emmanuel Maja,23,150,"5'9""",1,1791.0,13.1,"DM, M (C)",Banbury,ENG,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.44,2.86,76.0,1,2.16,9.3,1.26,76.0,,43.0,1.76,0.6,0.86,9.3,8.44,2.86,87.0,,0.12,1.86,0.55,2.01,3.64,-0.08,30.0,30.0,2.16,,1.0,0.05025125628140704,0.08,0.0,0.0,0.0
Conor Knight,21,150,"5'10""",1,517.0,12.4,AM (C),Bray Wanderers,IRL,,71 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,27.33,2.44,67.0,1,0.87,4.87,1.04,67.0,,33.0,1.57,0.17,-22.46,4.87,27.33,2.44,82.0,,0.18,1.22,0.0,0.87,0.0,0.29,83.0,83.0,1.91,,1.0,0.17408123791102514,0.06,0.35,0.0,0.0
Jamal Ibrahim,22,0,"5'10""",1,300.0,11.2,ST (C),Monaghan Utd,IRL,,73 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.6,0.6,50.0,0,0.6,2.4,0.6,50.0,,32.0,0.6,0.0,-13.2,2.4,15.6,0.6,90.0,,0.17,0.9,0.0,0.9,0.0,0.25,100.0,100.0,3.3,,2.0,0.6000000000000001,0.05,0.3,0.0,0.0
